trend_name,trend_url,trend_query,tweet_volume,searched_at_datetime,searched_in_country
ICAC,http://twitter.com/search?q=ICAC,ICAC,59674.0,2021-10-02 13:06:44.759519,Australia
ICAC,http://twitter.com/search?q=ICAC,ICAC,59674.0,2021-10-02 13:06:44.759519,Australia
#MUNEVE,http://twitter.com/search?q=%23MUNEVE,%23MUNEVE,69280.0,2021-10-02 13:06:44.759519,Australia
#DanNext,http://twitter.com/search?q=%23DanNext,%23DanNext,32091.0,2021-10-02 13:06:44.759519,Australia
#RSAvNZL,http://twitter.com/search?q=%23RSAvNZL,%23RSAvNZL,11784.0,2021-10-02 13:06:44.759519,Australia
Townsend,http://twitter.com/search?q=Townsend,Townsend,21059.0,2021-10-02 13:06:44.759519,Australia
Martial,http://twitter.com/search?q=Martial,Martial,69462.0,2021-10-02 13:06:44.759519,Australia
Everton,http://twitter.com/search?q=Everton,Everton,78939.0,2021-10-02 13:06:44.759519,Australia
#nswpol,http://twitter.com/search?q=%23nswpol,%23nswpol,,2021-10-02 13:06:44.759519,Australia
Ronaldo,http://twitter.com/search?q=Ronaldo,Ronaldo,137497.0,2021-10-02 13:06:44.759519,Australia
Premier,http://twitter.com/search?q=Premier,Premier,157358.0,2021-10-02 13:06:44.759519,Australia
#couchpeloton,http://twitter.com/search?q=%23couchpeloton,%23couchpeloton,,2021-10-02 13:06:44.759519,Australia
jungkook,http://twitter.com/search?q=jungkook,jungkook,1247526.0,2021-10-02 13:06:44.759519,Australia
Perrottet,http://twitter.com/search?q=Perrottet,Perrottet,,2021-10-02 13:06:44.759519,Australia
Halloween,http://twitter.com/search?q=Halloween,Halloween,521915.0,2021-10-02 13:06:44.759519,Australia
Boks,http://twitter.com/search?q=Boks,Boks,,2021-10-02 13:06:44.759519,Australia
Corruption,http://twitter.com/search?q=Corruption,Corruption,122114.0,2021-10-02 13:06:44.759519,Australia
All Blacks,http://twitter.com/search?q=%22All+Blacks%22,%22All+Blacks%22,,2021-10-02 13:06:44.759519,Australia
Sancho,http://twitter.com/search?q=Sancho,Sancho,24049.0,2021-10-02 13:06:44.759519,Australia
Greenwood,http://twitter.com/search?q=Greenwood,Greenwood,21170.0,2021-10-02 13:06:44.759519,Australia
Gray,http://twitter.com/search?q=Gray,Gray,52308.0,2021-10-02 13:06:44.759519,Australia
Pogba,http://twitter.com/search?q=Pogba,Pogba,17736.0,2021-10-02 13:06:44.759519,Australia
Rondon,http://twitter.com/search?q=Rondon,Rondon,,2021-10-02 13:06:44.759519,Australia
Doucoure,http://twitter.com/search?q=Doucoure,Doucoure,,2021-10-02 13:06:44.759519,Australia
Pickford,http://twitter.com/search?q=Pickford,Pickford,,2021-10-02 13:06:44.759519,Australia
minghao,http://twitter.com/search?q=minghao,minghao,48170.0,2021-10-02 13:06:44.759519,Australia
SEVENTEEN,http://twitter.com/search?q=SEVENTEEN,SEVENTEEN,604519.0,2021-10-02 13:06:44.759519,Australia
Sharri,http://twitter.com/search?q=Sharri,Sharri,,2021-10-02 13:06:44.759519,Australia
Cavani,http://twitter.com/search?q=Cavani,Cavani,19950.0,2021-10-02 13:06:44.759519,Australia
incentivise,http://twitter.com/search?q=incentivise,incentivise,,2021-10-02 13:06:44.759519,Australia
Masked Crusader,http://twitter.com/search?q=%22Masked+Crusader%22,%22Masked+Crusader%22,,2021-10-02 13:06:44.759519,Australia
McTominay,http://twitter.com/search?q=McTominay,McTominay,,2021-10-02 13:06:44.759519,Australia
Howard,http://twitter.com/search?q=Howard,Howard,15112.0,2021-10-02 13:06:44.759519,Australia
Tim Pallas,http://twitter.com/search?q=%22Tim+Pallas%22,%22Tim+Pallas%22,,2021-10-02 13:06:44.759519,Australia
Opus,http://twitter.com/search?q=Opus,Opus,,2021-10-02 13:06:44.759519,Australia
